Iteration,Time,TimeStep,Diff.Hf,Diff.Tw,Diff.Mice,MiceTotal
6.3000000000e+03,2.8326620000e+02,3.8260000000e-02,5.5120000000e-22,9.5480000000e-17,3.8720000000e-20,1.7930000000e+00
6.4000000000e+03,2.8709210000e+02,3.8260000000e-02,3.8030000000e-22,6.4370000000e-17,2.5860000000e-20,1.8180000000e+00
6.5000000000e+03,2.9091800000e+02,3.8260000000e-02,2.6310000000e-22,4.3490000000e-17,1.7280000000e-20,1.8440000000e+00
6.6000000000e+03,2.9474390000e+02,3.8260000000e-02,1.8260000000e-22,2.9450000000e-17,1.1560000000e-20,1.8690000000e+00
6.7000000000e+03,2.9856980000e+02,3.8260000000e-02,1.2720000000e-22,1.9990000000e-17,7.7460000000e-21,1.8940000000e+00
6.8000000000e+03,3.0239570000e+02,3.8260000000e-02,8.8820000000e-23,1.3600000000e-17,5.1950000000e-21,1.9190000000e+00
6.9000000000e+03,3.0622160000e+02,3.8260000000e-02,6.7460000000e-23,9.2800000000e-18,3.4890000000e-21,1.9440000000e+00
7.0000000000e+03,3.1004750000e+02,3.8260000000e-02,4.3710000000e-23,6.3540000000e-18,2.3470000000e-21,1.9690000000e+00
7.1000000000e+03,3.1387340000e+02,3.8260000000e-02,3.0790000000e-23,4.3620000000e-18,1.5810000000e-21,1.9940000000e+00
7.2000000000e+03,3.1769930000e+02,3.8260000000e-02,2.1740000000e-23,3.0010000000e-18,1.0680000000e-21,2.0200000000e+00
7.3000000000e+03,3.2152520000e+02,3.8260000000e-02,1.5380000000e-23,2.0730000000e-18,7.2220000000e-22,2.0450000000e+00
7.4000000000e+03,3.2535110000e+02,3.8260000000e-02,1.0900000000e-23,1.4410000000e-18,4.9000000000e-22,2.0700000000e+00
7.5000000000e+03,3.2917700000e+02,3.8260000000e-02,7.7470000000e-24,9.9640000000e-19,3.3290000000e-22,2.0950000000e+00
7.6000000000e+03,3.3300290000e+02,3.8260000000e-02,5.5120000000e-24,6.9820000000e-19,2.2700000000e-22,2.1200000000e+00
7.7000000000e+03,3.3682880000e+02,3.8260000000e-02,3.9420000000e-24,4.8440000000e-19,1.5590000000e-22,2.1450000000e+00
7.8000000000e+03,3.4065470000e+02,3.8260000000e-02,2.8020000000e-24,3.4290000000e-19,1.0620000000e-22,2.1710000000e+00
7.9000000000e+03,3.4448060000e+02,3.8260000000e-02,2.0030000000e-24,2.4100000000e-19,7.3470000000e-23,2.1960000000e+00
8.0000000000e+03,3.4830650000e+02,3.8260000000e-02,1.4320000000e-24,1.6890000000e-19,5.0580000000e-23,2.2210000000e+00
8.1000000000e+03,3.5213240000e+02,3.8260000000e-02,1.0240000000e-24,1.2460000000e-19,3.4760000000e-23,2.2460000000e+00
8.2000000000e+03,3.5595830000e+02,3.8260000000e-02,7.3240000000e-25,8.2120000000e-20,2.4640000000e-23,2.2710000000e+00
8.3000000000e+03,3.5978420000e+02,3.8260000000e-02,5.2630000000e-25,6.2260000000e-20,1.7100000000e-23,2.2960000000e+00
8.4000000000e+03,3.6361010000e+02,3.8260000000e-02,3.7590000000e-25,4.0760000000e-20,1.1500000000e-23,2.3210000000e+00
8.5000000000e+03,3.6743600000e+02,3.8260000000e-02,2.6950000000e-25,2.9580000000e-20,8.2030000000e-24,2.3470000000e+00
